	Major Program Name	CIP# Only	Degree Level	School Year
0	Computer Science + X	11.01	Bachelor's	2005-2006
1	Computer Science + X	11.01	Bachelor's	2006-2007
2	Computer Science + X	11.01	Bachelor's	2007-2008
3	Computer Science + X	11.01	Bachelor's	2008-2009
4	Computer Science + X	11.01	Bachelor's	2009-2010
5	Computer Science + X	11.01	Bachelor's	2010-2011
6	Computer Science + X	11.01	Bachelor's	2011-2012
7	Computer Science	11.01	Bachelor's	2004-2005
8	Computer Science	11.01	Bachelor's	2005-2006
9	Computer Science	11.01	Bachelor's	2006-2007
10	Computer Science	11.01	Bachelor's	2007-2008
11	Computer Science	11.01	Bachelor's	2008-2009
12	Computer Science	11.01	Bachelor's	2009-2010
13	Computer Science + X	11.01	Bachelor's	2010-2011
14	Computer Science + X	11.01	Bachelor's	2011-2012
15	Computer Science + X	11.01	Bachelor's	2012-2013
16	Computer Science + X	11.01	Bachelor's	2013-2014
17	Computer Science + X	11.01	Bachelor's	2008-2009
18	Computer Science + X	11.01	Bachelor's	2009-2010
19	Computer Science + X	11.01	Bachelor's	2010-2011
20	Computer Science + X	11.01	Bachelor's	2011-2012
21	Computer Science + X	11.01	Bachelor's	2012-2013
22	Computer Science + X	11.01	Bachelor's	2013-2014
23	Computer Science + X	11.01	Bachelor's	2014-2015
24	Computer Science + X	11.01	Bachelor's	2004-2005
25	Computer Science + X	11.01	Bachelor's	2005-2006
26	Computer Science + X	11.01	Bachelor's	2006-2007
27	Computer Science + X	11.01	Bachelor's	2007-2008
28	Computer Science + X	11.01	Bachelor's	2008-2009
29	Computer Science + X	11.01	Bachelor's	2009-2010
30	Computer Science + X	11.01	Bachelor's	2010-2011
31	Computer Science + X	11.01	Bachelor's	2011-2012
32	Information Science	11.01	Bachelor's	2009-2010
33	Information Science	11.01	Bachelor's	2010-2011
34	Software Development	11.01	Bachelor's	2006-2007
35	Computer Science + X	11.01	Bachelor's	2014-2015
36	Computer Science + X	11.01	Bachelor's	2013-2014
37	Computer Science + X	11.01	Bachelor's	2012-2013
38	Computer Science + X	11.01	Bachelor's	2011-2012
39	Computer Science + X	11.01	Bachelor's	2010-2011
40	Computer Science + X	11.01	Bachelor's	2009-2010
41	Computer Science + X	11.01	Bachelor's	2008-2009
42	Computer Science + X	11.01	Bachelor's	2007-2008
43	Computer Science + X	11.01	Bachelor's	2006-2007
44	Computer Science + X	11.01	Bachelor's	2005-2006
45	Computer Science + X	11.01	Bachelor's	2004-2005
46	Computer Science + X	11.01	Bachelor's	2003-2004
47	Computer Science + X	11.01	Bachelor's	2009-2010
48	Computer Science + X	11.01	Bachelor's	2008-2009
49	Computer Science + X	11.01	Bachelor's	2007-2008
50	Computer Science + X	11.01	Bachelor's	2006-2007
51	Computer Science + X	11.01	Bachelor's	2005-2006
52	Computer Science + X	11.01	Bachelor's	2004-2005
53	Computer Science + X	11.01	Bachelor's	2012-2013
54	Computer Science + X	11.01	Bachelor's	2013-2014
55	Computer Science + X	11.01	Bachelor's	2013-2014
56	Computer Science + X	11.01	Bachelor's	2012-2013
57	Computer Science + X	11.01	Bachelor's	2011-2012
58	Computer Science + X	11.01	Bachelor's	2010-2011
59	Computer Science + X	11.01	Bachelor's	2009-2010
60	Computer Science + X	11.01	Bachelor's	2003-2004
61	Computer Science + X	11.01	Bachelor's	2004-2005
62	Computer Science + X	11.01	Bachelor's	2005-2006
63	Computer Science + X	11.01	Bachelor's	2006-2007
64	Computer Science + X	11.01	Bachelor's	2007-2008
65	Computer Science + X	11.01	Bachelor's	2008-2009
66	Computer Science + X	11.01	Bachelor's	2009-2010
67	Computer Science + X	11.01	Bachelor's	2010-2011
68	Computer Science + X	11.01	Bachelor's	2011-2012
69	Computer Science + X	11.01	Bachelor's	2012-2013
70	Computer Science + X	11.01	Bachelor's	2013-2014
