School Year,Major Program Name,Avg. ACT Math Score,Avg. SAT Math Score
2010,Aerospace Engineering,26.65,598.855
2010,Computer Science,25.91428571,609.3228571
2010,Computer Science + X,22,610.75
2010,Electrical Engineering,23,640
2010,General Engineering,31,670
2010,Information Science,26,555
2010,Mechanical Engineering,32.55,638.5
2011,Aerospace Engineering,26.25,601.625
2011,Computer Science,27.30454545,630.7027273
2011,Computer Science + X,24.3054,504.6
2011,Electrical Engineering,28,685
2011,General Engineering,28,639
2011,Information Science,24,581
2011,Mechanical Engineering,29.9,682
2012,Aerospace Engineering,26.65,619.655
2012,Chemical Engineering,29,601
2012,Computer Science,26.81428571,617.4771429
2012,Computer Science + X,25.619625,586.08625
2012,Electrical Engineering,27.9,715
2012,General Engineering,29,615
2012,Information Science,28,624.25
2012,Mechanical Engineering,26.075,640
2013,Aerospace Engineering,26.525,614.375
2013,Chemical Engineering,28,659
2013,Computer Science,26.30666667,602.4353333
2013,Computer Science + X,27.004,627.1
2013,Electrical Engineering,30.75,642.5
2013,General Engineering,28,637
2013,Information Science,26,613.3333333
2013,Mechanical Engineering,26.93333333,605.6666667
2014,Aerospace Engineering,27.845,619.19
2014,Chemical Engineering,27,640
2014,Computer Science,26.58235294,630.1388235
2014,Computer Science + X,28.81777778,674.2966667
2014,Electrical Engineering,28.35,684.5825
2014,General Engineering,30,635
2014,Information Science,24.785,564
2014,Mechanical Engineering,28.45,636.25
2014,Software Engineering,24.5,570
2015,Aerospace Engineering,29.3,657
2015,Computer Science,27.6409375,632.16375
2015,Computer Science + X,28.01115556,670.1492222
2015,Electrical Engineering,27.425,653
2015,General Engineering ,29,642
2015,Information Science,24.5,573.5
2015,Mechanical Engineering,28.4,623.3333333
2016,Computer Science,29.881,670.812
2016,Computer Science + X,30.934,654.534
2016,Electrical Engineering,30.93333333,694.3333333
2016,General Engineering ,29,617
2016,Mechanical Engineering,31,692
